Serie,Sysser,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw,mean_response,median_response,min_response,max_response,std_response,n_records
DELFT Series,50,0.538712623,0.777307916,0.418745586,0.687933288,3.333333201,6.342495001,21.14164916,5.521059773,-0.079000004,-0.091399997,0.864332668,6.987716844,6.290895848,1.110766577,20.7833188,0.053445101,49.61999546807692,24.08274203,0.618828489,134.990559,52.24838566226055,13
DELFT Series,6,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337,71.21765399184616,24.27521516,0.191931918,197.4812536,81.49372989779346,13
DELFT Series,60,0.541266128,0.748477473,0.405125504,0.686761317,3.90472863,5.755062436,22.47195706,6.005475365,-0.045499902,-0.070999804,0.640845458,7.002137368,6.343219616,1.103877493,22.76087043,0.048498914,30.035398645857143,11.85782495,0.663684232,96.78728388,33.527786500553646,21
DELFT Series,61,0.542082426,0.790729128,0.428640364,0.694833104,3.721985347,6.700753786,24.9401074,6.005188412,-0.045395565,-0.072692757,0.624485398,7.345533256,6.732232684,1.091099135,23.91196656,0.045629837,31.063850008333333,12.44975928,0.619170976,100.1066789,34.47559293020074,21
DELFT Series,62,0.541544818,0.676269447,0.366230215,0.68082875,4.108863803,4.707951147,19.34433006,6.009528826,-0.044795588,-0.068793166,0.651163345,6.726075778,5.984074422,1.123996011,21.88953736,0.05134855,29.85223573533333,11.01413265,0.57619205,96.66729701,33.443743418163905,21
DELFT Series,7,0.560793444,0.646194779,0.362381796,0.68504782,3.154574163,4.953125151,15.62500063,5.142782266,-0.022899999,-0.033499998,0.683582103,6.302876566,5.743497313,1.097393491,18.17773917,0.060370186,36.02537641966667,6.904802066,0.444574781,130.4965912,48.472108486755175,15
DELFT Series,71,0.521025751,0.745897523,0.388631817,0.639205808,4.973644952,3.408474669,16.95254283,6.008837034,-0.060187959,-0.081483702,0.738650275,6.09227579,4.640307745,1.312903394,19.0734462,0.068834094,48.21537208412,42.61045799,0.996606346,112.8379852,41.61494626543092,25
DELFT Series,72,0.518236857,0.754385945,0.390950601,0.640002034,5.872514382,5.700000255,33.47333347,7.951829435,-0.059549891,-0.081059551,0.734643726,7.846750285,6.891144823,1.138671511,32.33591723,0.035213831,38.54380487904,33.16795841,1.065026187,93.5701579,31.51065809519216,25
DELFT Series,73,0.518865586,0.753586587,0.391010146,0.640101864,4.972166896,5.437837592,27.03783606,7.005565542,-0.061075572,-0.081767296,0.746943759,7.25527756,6.318148003,1.148323457,26.37254846,0.043542377,43.12654532304,36.89986798,1.192581285,103.193357,36.37068924970218,25
Il Moro di Venezia' Series,IACC 10,0.536,0.698,0.371,0.68,3.93697479,7.677419355,30.22580645,6.83618562,-0.0206,-0.0477,0.431865828,8.516643997,8.061535833,1.056454275,31.2195122,0.033839551,26.183384551666663,13.96353732,2.871552699,77.22355958,27.523213472087782,9
Il Moro di Venezia' Series,IACC 11,0.541,0.704,0.377,0.694,4.666666667,5.424657534,25.31506849,6.783308722,-0.0249,-0.0404,0.616336634,7.488550708,6.841824487,1.094525404,27.51485149,0.039779441,23.663275123125,9.057967396,2.288907725,90.04610009,31.492787593558905,8
Il Moro di Venezia' Series,IACC 14,0.56,0.698,0.387,0.689,4.582125604,5.307692308,24.32051282,6.607884107,-0.0342,-0.0582,0.587628866,7.317782574,6.563071787,1.114993529,27.04484305,0.041227584,27.7911725929,14.176248325,2.363392995,100.3572274,31.58843165837193,10
Il Moro di Venezia' Series,IACC 15,0.552,0.698,0.381,0.689,4.7725,4.87804878,23.2804878,6.638479905,-0.038,-0.0598,0.635451505,7.167378843,6.360791752,1.126806084,26.22566372,0.042965779,25.07004268,9.2342206115,2.05479887,98.62444133,34.610434240948145,8
Il Moro di Venezia' Series,IACC 16,0.54,0.739,0.394,0.686,4.535108959,6.164179104,27.95522388,6.844742658,-0.0212,-0.0501,0.423153693,7.733787936,7.09676206,1.08976289,28.66831683,0.038012796,16.201108119142855,8.285320616,2.556200996,61.93293824,20.9590991000723,7
Il Moro di Venezia' Series,IACC 17,0.552,0.724,0.396,0.703,4.562962963,5.0,22.81481481,6.415581109,-0.044,-0.0534,0.823970037,7.078285355,6.350329565,1.114632758,25.0982906,0.044410704,14.149242404428572,7.143247744,1.984037608,55.95603209,19.050097032143057,7
Il Moro di Venezia' Series,IACC 19,0.555,0.743,0.406,0.696,4.732824427,4.9125,23.25,6.459944764,-0.0418,-0.0584,0.715753425,6.970828773,6.145764423,1.134249264,25.01731602,0.045338567,14.011157769,7.122948724,2.08739717,55.25013458,18.77390032861721,7
Il Moro di Venezia' Series,IACC 2,0.547,0.683,0.367,0.682,4.611246944,5.680555556,26.19444444,6.897865543,-0.0223,-0.0482,0.462655602,7.664797656,7.034759314,1.089560753,28.93939394,0.037649743,26.69470074725,10.104432162999998,2.477608268,100.9701259,35.610723175190415,8
Il Moro di Venezia' Series,IACC 3,0.534,0.694,0.367,0.683,4.81748072,5.637681159,27.15942029,7.103603201,-0.0224,-0.05,0.448,7.803654232,7.152751016,1.091000402,29.51630435,0.036962636,25.8157032655,10.304122707,2.723486233,96.26252403,33.66385253431929,8
Il Moro di Venezia' Series,IACC 4,0.562,0.69,0.38,0.688,4.721804511,5.61971831,26.53521127,6.902956006,-0.0204,-0.0487,0.41889117,7.61321442,6.939288545,1.097117431,29.53645833,0.037144515,23.810462885375,10.0583347,2.277621379,81.70946805,29.79283007682176,8
Il Moro di Venezia' Series,IACC 5,0.517,0.688,0.352,0.68,4.437352246,5.794520548,25.71232877,6.856015969,-0.0168,-0.0447,0.375838926,7.783618121,7.205917291,1.080170339,27.6492891,0.039066839,27.553893953625,10.1651856775,2.625016781,104.6789366,36.911083806232,8
